fecha,titulo,ubicacion,url_inscripcion,url_ficha,imagen,origen
15-01-2026,Cross Escolar Cartagena 2025_2026 (INF CAD JUV),"Barreros, Los / MURCIA",,http://www.alcanzatumeta.es/cross-escolar-cartagena-20252026-inf-cad-juv,https://www.alcanzatumeta.es/assets/images/no_image.png,ALCANZATUMETA
18-01-2026,X Lemon Trail Santomera 2026,Santomera / MURCIA,http://www.alcanzatumeta.es/inscrip-previa.php?id=1121178,http://www.alcanzatumeta.es/x-lemon-trail-santomera-2026,https://www.alcanzatumeta.es/uploads/Cartel/cb682de62fa132bcd8c42dae33ee5bee.jpeg,ALCANZATUMETA
18-01-2026,XI Subida a la Sima Cabezo de la Jara,Puerto Lumbreras / MURCIA,http://www.alcanzatumeta.es/inscrip-previa.php?id=1135055,http://www.alcanzatumeta.es/xi-subida-a-la-sima-cabezo-de-la-jara,https://www.alcanzatumeta.es/uploads/Cartel/ada7ecfd207c2d30e83db0c5cfdb57b2.jpeg,ALCANZATUMETA
18-01-2026,XXXV Carrera Alcalde de La Unión 2026,"Union, La / MURCIA",http://www.alcanzatumeta.es/inscrip-previa.php?id=1147503,http://www.alcanzatumeta.es/xxxv-carrera-alcalde-de-la-union-2026,https://www.alcanzatumeta.es/uploads/Cartel/e923f33b0ef89d57a32014ada3ca7abd.jpg,ALCANZATUMETA
18-01-2026,III Carrera Popular La Molineta 2026,Molina De Segura / MURCIA,http://www.alcanzatumeta.es/inscrip-previa.php?id=1128084,http://www.alcanzatumeta.es/iii-carrera-popular-la-molineta-2026,https://www.alcanzatumeta.es/uploads/Cartel/9927f914606ed8583b6aed8754f8d11e.jpeg,ALCANZATUMETA
25-01-2026,XI Trail del Romero,Bullas / MURCIA,http://www.alcanzatumeta.es/inscrip-previa.php?id=1124647,http://www.alcanzatumeta.es/xi-trail-del-romero,https://www.alcanzatumeta.es/uploads/Cartel/c5e944b10cbc454544a462e87c2bdc18.jpeg,ALCANZATUMETA
01-02-2026,El Buitre CXM 2026,Moratalla / MURCIA,http://www.alcanzatumeta.es/inscrip-previa.php?id=1132751,http://www.alcanzatumeta.es/el-buitre-cxm-2026,https://www.alcanzatumeta.es/assets/images/no_image.png,ALCANZATUMETA
01-02-2026,TotalEnergies Maratón Murcia Costa Cálida 2026,Murcia / MURCIA,http://www.alcanzatumeta.es/inscrip-previa.php?id=1078928,http://www.alcanzatumeta.es/totalenergies-maraton-murcia-costa-calida-2026,https://www.alcanzatumeta.es/assets/images/no_image.png,ALCANZATUMETA
07-02-2026,IV Chinte Trail 2026,Ojos / MURCIA,,http://www.alcanzatumeta.es/iv-chinte-trail-2026,https://www.alcanzatumeta.es/uploads/Cartel/2e11532f303b05c2a8b40b1a3be1c9ac.jpeg,ALCANZATUMETA
08-02-2026,Oxox Vertical Chinte Trail 2026,Ojos / MURCIA,http://www.alcanzatumeta.es/inscrip-previa.php?id=1095343,http://www.alcanzatumeta.es/oxox-vertical-chinte-trail-2026,https://www.alcanzatumeta.es/uploads/Cartel/f278ac66d3bb35d440cd9ab12a3ce6ab.jpg,ALCANZATUMETA
15-02-2026,XII San Jorge Dragon Trail,Molina De Segura / MURCIA,http://www.alcanzatumeta.es/inscrip-previa.php?id=1147513,http://www.alcanzatumeta.es/xii-san-jorge-dragon-trail,https://www.alcanzatumeta.es/uploads/Cartel/61ddccf1e83ae6e30611831313bbe670.jpeg,ALCANZATUMETA
15-02-2026,XII San Jorge Dragon Kid Cross,Molina De Segura / MURCIA,http://www.alcanzatumeta.es/inscrip-previa.php?id=1148774,http://www.alcanzatumeta.es/xii-san-jorge-dragon-kid-cross,https://www.alcanzatumeta.es/uploads/Cartel/4edbbf15b676b6e1379c3f9af2cefbad.jpeg,ALCANZATUMETA
21-02-2026,X VRUTRAIL 2026,Totana / MURCIA,http://www.alcanzatumeta.es/inscrip-previa.php?id=1115818,http://www.alcanzatumeta.es/x-vrutrail-2026,https://www.alcanzatumeta.es/uploads/Cartel/42c6b871adf19ffd6322b9ff18e1da70.jpg,ALCANZATUMETA
28-02-2026,UTY Trail Yecla 2026,Yecla / MURCIA,http://www.alcanzatumeta.es/inscrip-previa.php?id=1148125,http://www.alcanzatumeta.es/uty-trail-yecla-2026,https://www.alcanzatumeta.es/assets/images/no_image.png,ALCANZATUMETA
