fecha,titulo,ubicacion,url_inscripcion,url_ficha,imagen,origen
18-01-2026,XXXVII Carrera Alcalde de La Unión,La Unión,https://lineadesalida.net/carreras/xxxvii-carrera-alcalde-de-la-union/invitado,https://lineadesalida.net/storage/reglamentos/1767031779Cross canino..pdf,https://lineadesalida.net/storage/miniaturas/1766084864minAlcaldeUnión26.jpg,LINEADESALIDA
25-01-2026,XII Cross-Trail Calas de Bolnuevo,Bolnuevo,https://lineadesalida.net/carreras/xii-cross-trail-calas-de-bolnuevo/invitado,https://lineadesalida.net/storage/reglamentos/1761563992reglamentoCrossTrailBolnuevo2026.pdf,https://lineadesalida.net/storage/miniaturas/1761563992minCrossTrailBolnuevo2026.png,LINEADESALIDA
25-01-2026,III Marcha Solidaria Cofradía de la Soledad del Monte Calvario,Cartagena,https://lineadesalida.net/carreras/iii-marcha-solidaria-cofradia-de-la-soledad-del-monte-calvario/invitado,https://lineadesalida.net/storage/reglamentos/1764672858memoriaMarchaSolidariaCalvario2026.pdf,https://lineadesalida.net/storage/miniaturas/1764672858minMarchaSolidariaCalvario26.png,LINEADESALIDA
31-01-2026,PROYECTO AMG ELITE SPORT - RDLF 2026,Cartagena,https://lineadesalida.net/carreras/proyecto-amg-elite-sport-rdlf-2026/invitado,https://lineadesalida.net/storage/reglamentos/1763379587Bases RTDF.pdf,https://lineadesalida.net/storage/miniaturas/1763379587minAMGRDLF26.png,LINEADESALIDA
01-02-2026,I Carrera Solidaria Ruta 091 de Cartagena,Cartagena,https://lineadesalida.net/carreras/i-carrera-solidaria-ruta-091-de-cartagena/invitado,https://lineadesalida.net/storage/reglamentos/1766073681Reglamento R091 Cartagena (1) (5).pdf,https://lineadesalida.net/storage/miniaturas/1767029812minPoliciaNacional26.jpg,LINEADESALIDA
14-02-2026,VI King of the Mountain 2026,Cartagena,https://lineadesalida.net/carreras/vi-king-of-the-mountain-2026/invitado,https://lineadesalida.net/storage/reglamentos/1765811866KingOfMountain.pdf,https://lineadesalida.net/storage/miniaturas/1765798931mingKingOfTheMountain26.jpg,LINEADESALIDA
15-02-2026,ANIMAL 5K y 10K Academia General del Aire 2026,San Javier,https://lineadesalida.net/carreras/animal-5k-y-10k-academia-general-del-aire-2026/invitado,https://lineadesalida.net/storage/reglamentos/1765700898Bases AGA San Javier 2026.pdf,https://lineadesalida.net/storage/miniaturas/1765707877minAGA2026.jpg,LINEADESALIDA
15-02-2026,III BTT La Aljorra,La Aljorra,https://lineadesalida.net/carreras/iii-btt-la-aljorra/invitado,https://lineadesalida.net/storage/reglamentos/1767892439reglamentoBTTLaAljorra26.pdf,https://lineadesalida.net/storage/miniaturas/1767780749minBTTLaAljorra26.jpg,LINEADESALIDA
22-02-2026,XIII Milla Solidaria La Huertecica,Cartagena,https://lineadesalida.net/carreras/xiii-milla-solidaria-la-huertecica/invitado,,https://lineadesalida.net/storage/miniaturas/1766348979minHuertecica26.jpg,LINEADESALIDA
01-03-2026,Media Maratón y 10K‐ Ciudad de Cartagena 2026,Cartagena,https://lineadesalida.net/carreras/media-maraton-y-10k-ciudad-de-cartagena-2026/invitado,https://lineadesalida.net/storage/reglamentos/1762277338reglamentoMMCartagena26_comp.pdf,https://lineadesalida.net/storage/miniaturas/1762277338minMMCartagena26.png,LINEADESALIDA
08-03-2026,IV Cross Trail Villa y Condado de Santa Lucía,Cartagena,https://lineadesalida.net/carreras/iv-cross-trail-villa-y-condado-de-santa-lucia/invitado,https://lineadesalida.net/storage/reglamentos/1764583958reglamentoIVCrossVillayCondadodeSantaLucia.pdf,https://lineadesalida.net/storage/miniaturas/1764583958minCrossSantaLucia.png,LINEADESALIDA
14-03-2026,VI Carrera Popular Virgen del Mar,La Manga,https://lineadesalida.net/carreras/vi-carrera-popular-virgen-del-mar/invitado,https://lineadesalida.net/storage/reglamentos/1765368036reglamentoVirgenDelMar2026.pdf,https://lineadesalida.net/storage/miniaturas/1765368036minVirgenDelMar26.png,LINEADESALIDA
22-03-2026,VIII Trail de Alumbres,Alumbres,https://lineadesalida.net/carreras/viii-trail-de-alumbres/invitado,,https://lineadesalida.net/storage/miniaturas/1767368345minTrailAlumbres26.jpg,LINEADESALIDA
29-03-2026,V Cross Popular Monte de la Cruz,El Estrecho de Fuente Álamo,https://lineadesalida.net/carreras/v-cross-popular-monte-de-la-cruz/invitado,https://lineadesalida.net/storage/reglamentos/1765798538reglamentoVCrossPopularMontedelaCruz.pdf,https://lineadesalida.net/storage/miniaturas/1766566451minMonteCruz2026.jpg,LINEADESALIDA
01-05-2026,V Vuelta a nado Faro de Mazarrón,Mazarrón,https://lineadesalida.net/carreras/v-vuelta-a-nado-faro-de-mazarron/invitado,,https://lineadesalida.net/storage/miniaturas/1759993262minFaroMazarron26.jpg,LINEADESALIDA
13-06-2026,XII Cross Paraíso Xtreme 2026,Playa Paraíso,https://lineadesalida.net/carreras/xii-cross-paraiso-xtreme-2026/invitado,,https://lineadesalida.net/storage/miniaturas/1768168128minParaisoXtreme2026.jpg,LINEADESALIDA
12-09-2026,IV Backyard Ultra Cartagena,Cartagena,https://lineadesalida.net/carreras/iv-backyard-ultra-cartagena/invitado,https://lineadesalida.net/storage/reglamentos/1761567882reglamentoIVCartagenaBackyardUltra26.pdf,https://lineadesalida.net/storage/miniaturas/1761567265minBackYard25.jpg,LINEADESALIDA
14-12-2026,Mar Menor Running Challenge 2026,La Manga,https://lineadesalida.net/carreras/mar-menor-running-challenge-2026/invitado,,https://lineadesalida.net/storage/miniaturas/1768161287minMarMenorRunning2026.jpg,LINEADESALIDA
